;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
69;8.0;164.625;164.625;0.625;2.996;0.5;326.6;1317.0;8.0;0.375;0.5;0.375;0.5;0.25;0.625;ralitsa;1;
70;9.0;187.0;347.7778;1.2222;2.8817;0.4167;618.8333;3130.0;25.0;0.5556;0.3333;0.5556;0.3333;0.4444;0.4444;ralitsa;1;
71;18.0;209.3333;386.1667;1.3333;3.0185;0.6;831.5385;6951.0;2.0;0.5;0.4444;0.4444;0.5;0.3333;0.6111;ralitsa;1;
72;9.0;166.7778;193.6667;0.7778;3.065;0.5;329.5;1743.0;18.0;0.4444;0.4444;0.4444;0.4444;0.3333;0.5556;ralitsa;1;
73;8.0;220.875;247.875;0.75;3.024;0.5714;396.6;1983.0;4.0;0.25;0.625;0.25;0.625;0.375;0.5;ralitsa;1;
74;10.0;126.8;126.8;0.5;3.042;0.6667;253.6;1268.0;20.0;0.3;0.6;0.3;0.6;0.3;0.6;ralitsa;1;
75;8.0;145.875;145.875;0.375;3.28;0.5;389.0;1167.0;15.0;0.25;0.625;0.25;0.625;0.25;0.625;ralitsa;1;
76;15.0;153.3333;273.8667;0.8;3.0833;0.6154;484.2222;4108.0;10.0;0.3333;0.6;0.3333;0.6;0.3333;0.6;ralitsa;1;
77;10.0;238.5;452.8;1.6;2.9633;0.5294;833.1111;4528.0;14.0;0.6;0.3;0.5;0.4;0.5;0.4;ralitsa;1;
78;12.0;173.5833;191.6667;0.5833;3.205;0.625;383.3333;2300.0;17.0;0.3333;0.5833;0.3333;0.5833;0.3333;0.5833;ralitsa;1;
79;12.0;141.0;156.3333;0.6667;3.14;0.6667;268.0;1876.0;9.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;ralitsa;1;
80;8.0;131.125;207.125;0.75;3.1375;0.4286;414.25;1657.0;12.0;0.375;0.5;0.375;0.5;0.375;0.5;ralitsa;1;
81;8.0;175.0;335.625;1.125;2.76;0.5;590.4;2685.0;16.0;0.625;0.25;0.5;0.375;0.5;0.375;ralitsa;1;
82;8.0;218.75;355.125;1.125;2.9683;0.4;799.8333;2841.0;27.0;0.5;0.375;0.5;0.375;0.375;0.5;ralitsa;1;
83;12.0;184.6667;205.5;0.6667;2.6257;0.5556;388.0;2466.0;21.0;0.3333;0.5833;0.4167;0.5;0.25;0.6667;ralitsa;1;
84;8.0;129.125;129.125;0.5;2.8925;0.6;258.25;1033.0;22.0;0.5;0.375;0.5;0.375;0.375;0.5;ralitsa;1;
85;8.0;160.375;181.25;0.625;3.035;0.5;362.5;1450.0;11.0;0.375;0.5;0.375;0.5;0.375;0.5;ralitsa;1;
86;8.0;121.0;121.0;0.5;2.93;0.6;242.0;968.0;5.0;0.375;0.5;0.375;0.5;0.375;0.5;ralitsa;1;
87;7.0;99.8571;126.0;0.5714;2.9267;0.2;421.6667;882.0;28.0;0.2857;0.5714;0.2857;0.5714;0.1429;0.7143;ralitsa;1;
88;9.0;103.6667;124.0;0.5556;2.9775;0.5;279.0;1116.0;6.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;ralitsa;1;
89;5.0;156.8;156.8;0.6;2.9067;0.5;261.3333;784.0;24.0;0.2;0.6;0.2;0.6;0.2;0.6;ralitsa;1;
