;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
27;73.0;72.2877;77.0822;0.411;2.4032;0.8065;211.7143;5627.0;27.1;0.3151;0.6712;0.3151;0.6712;0.2603;0.726;sebastian;1;
28;35.0;43.8286;54.7714;0.3143;2.6222;0.5833;264.7778;1917.0;17.2;0.2286;0.7429;0.2286;0.7429;0.2;0.7714;sebastian;1;
29;2.0;425.0;1758.5;5.0;2.66;0.1818;1933.5;3517.0;17.1;0.5;0.0;0.5;0.0;0.5;0.0;sebastian;1;
30;106.0;69.2075;78.6415;0.4434;2.436;0.8125;235.9;8336.0;24.1;0.3396;0.6509;0.3208;0.6698;0.2736;0.717;sebastian;1;
31;110.0;8.9364;13.7818;0.0727;2.47;0.5556;252.6667;1516.0;24.2;0.0545;0.9364;0.0545;0.9364;0.0545;0.9364;sebastian;1;
32;39.0;86.3846;103.4872;0.5897;2.5895;0.75;222.0526;4036.0;3.2;0.4103;0.5641;0.3846;0.5897;0.3077;0.6667;sebastian;1;
33;108.0;61.3704;76.5833;0.4259;2.5919;0.6809;279.7778;8271.0;3.1;0.287;0.7037;0.2778;0.713;0.2593;0.7315;sebastian;1;
34;116.0;69.0;77.6121;0.4569;2.5833;0.7222;228.6;9003.0;25.2;0.3103;0.681;0.3103;0.681;0.2586;0.7328;sebastian;1;
35;120.0;67.6583;73.9;0.4;2.5853;0.7755;218.2558;8868.0;25.1;0.2917;0.7;0.3;0.6917;0.2417;0.75;sebastian;1;
36;55.0;83.6545;93.9636;0.4545;2.3473;0.8077;244.7273;5168.0;5.2;0.3091;0.6727;0.3091;0.6727;0.2909;0.6909;sebastian;1;
37;89.0;58.191;59.6854;0.2921;2.6772;0.8148;226.44;5312.0;5.1;0.2135;0.7753;0.2135;0.7753;0.191;0.7978;sebastian;1;
38;41.0;64.6098;80.878;0.3902;2.5054;0.6471;329.3846;3316.0;23.1;0.2439;0.7317;0.2927;0.6829;0.2195;0.7561;sebastian;1;
39;12.0;147.25;230.5833;1.0833;2.485;0.3571;581.25;2767.0;23.2;0.3333;0.5833;0.4167;0.5;0.3333;0.5833;sebastian;1;
40;21.0;105.5238;125.381;0.619;2.5545;0.7143;239.3636;2633.0;26.1;0.4286;0.5238;0.4286;0.5238;0.381;0.5714;sebastian;1;
41;85.0;74.9294;88.4353;0.5176;2.6061;0.7333;223.2632;7517.0;26.2;0.3294;0.6588;0.3412;0.6471;0.2588;0.7294;sebastian;1;
42;38.0;86.0263;93.4737;0.5263;2.5217;0.7143;239.9444;3552.0;16.2;0.4211;0.5526;0.3947;0.5789;0.3158;0.6579;sebastian;1;
43;21.0;89.6667;89.6667;0.4762;2.499;0.5455;296.5;1883.0;16.1;0.381;0.5714;0.381;0.5714;0.1905;0.7619;sebastian;1;
44;101.0;72.4158;80.6733;0.4554;2.6093;0.8085;219.125;8148.0;4.2;0.3168;0.6733;0.3069;0.6832;0.2871;0.703;sebastian;1;
45;82.0;32.7439;34.1707;0.1707;2.7;0.6667;237.3077;2802.0;4.1;0.1341;0.8537;0.1341;0.8537;0.1098;0.878;sebastian;1;
46;74.0;16.4189;18.4459;0.1081;2.6214;0.6667;195.0;1365.0;9.1;0.0676;0.9189;0.0676;0.9189;0.0541;0.9324;sebastian;1;
47;59.0;62.0847;64.0508;0.3051;2.5141;0.7895;300.6471;3779.0;9.2;0.2542;0.7288;0.2542;0.7288;0.2203;0.7627;sebastian;1;
48;136.0;70.0662;76.9265;0.4044;2.5073;0.8571;260.8163;10462.0;21.2;0.2794;0.7132;0.2647;0.7279;0.2794;0.7132;sebastian;1;
49;55.0;74.6364;76.1455;0.4182;2.4286;0.7917;204.7727;4188.0;21.1;0.3273;0.6545;0.3273;0.6545;0.3091;0.6727;sebastian;1;
50;93.0;74.914;81.3548;0.4194;2.7109;0.8;226.9412;7566.0;10.1;0.2581;0.7312;0.2796;0.7097;0.2366;0.7527;sebastian;1;
51;72.0;59.4722;61.3194;0.3333;2.57;0.84;200.6818;4415.0;10.2;0.2639;0.7222;0.2639;0.7222;0.2222;0.7639;sebastian;1;
52;89.0;68.5843;85.8427;0.4382;2.5797;0.75;265.8065;7640.0;20.1;0.2697;0.7191;0.2921;0.6966;0.2472;0.7416;sebastian;1;
53;34.0;109.6176;109.6176;0.5588;2.5921;0.8;215.8421;3727.0;20.2;0.4412;0.5294;0.4412;0.5294;0.3235;0.6471;sebastian;1;
54;101.0;55.6337;65.8713;0.3267;2.4243;0.7941;237.6071;6653.0;14.2;0.2574;0.7327;0.2673;0.7228;0.2475;0.7426;sebastian;1;
55;112.0;51.3661;52.5625;0.2857;2.43;0.8485;197.9677;5887.0;14.1;0.2143;0.7768;0.2143;0.7768;0.1786;0.8125;sebastian;1;
56;28.0;72.6429;97.6071;0.4643;2.478;0.6429;306.6;2733.0;28.2;0.2857;0.6786;0.2857;0.6786;0.25;0.7143;sebastian;1;
57;73.0;87.1507;92.6164;0.4658;2.3858;0.7143;297.129;6761.0;28.1;0.3562;0.6301;0.3562;0.6301;0.2877;0.6986;sebastian;1;
58;12.0;84.75;84.75;0.5;2.4583;0.5714;241.8333;1017.0;1.1;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;sebastian;1;
59;46.0;83.3478;83.3478;0.4348;2.486;0.7619;227.5;3834.0;1.2;0.3043;0.6739;0.3043;0.6739;0.2391;0.7391;sebastian;1;
60;;;;;;;;;13.0;;;;;;;sebastian;1;True
61;;;;;;;;;30.0;;;;;;;sebastian;1;True
62;;;;;;;;;7.0;;;;;;;sebastian;1;True
63;;;;;;;;;18.0;;;;;;;sebastian;1;True
64;;;;;;;;;29.0;;;;;;;sebastian;1;True
65;;;;;;;;;2.0;;;;;;;sebastian;1;True
66;;;;;;;;;6.0;;;;;;;sebastian;1;True
67;;;;;;;;;22.0;;;;;;;sebastian;1;True
68;8.0;38.625;38.625;0.25;3.17;0.0;213.0;309.0;15.0;0.25;0.625;0.25;0.625;0.25;0.625;sebastian;1;
69;;;;;;;;;8.0;;;;;;;sebastian;1;True
70;;;;;;;;;19.0;;;;;;;sebastian;1;True
71;;;;;;;;;12.0;;;;;;;sebastian;1;True
72;;;;;;;;;11.0;;;;;;;sebastian;1;True
73;;;;;;;;;27.0;;;;;;;sebastian;1;True
74;;;;;;;;;17.0;;;;;;;sebastian;1;True
75;;;;;;;;;24.0;;;;;;;sebastian;1;True
76;;;;;;;;;3.0;;;;;;;sebastian;1;True
77;;;;;;;;;25.0;;;;;;;sebastian;1;True
78;;;;;;;;;5.0;;;;;;;sebastian;1;True
79;13.0;12.8462;12.8462;0.0769;2.78;0.0;167.0;167.0;23.0;0.0769;0.8462;0.0769;0.8462;0.0769;0.8462;sebastian;1;
80;;;;;;;;;26.0;;;;;;;sebastian;1;True
81;8.0;12.5;12.5;0.125;2.55;0.0;100.0;100.0;16.0;0.125;0.75;0.125;0.75;0.125;0.75;sebastian;1;
82;8.0;39.5;39.5;0.25;2.385;0.3333;158.0;316.0;4.0;0.125;0.75;0.125;0.75;0.125;0.75;sebastian;1;
83;;;;;;;;;9.0;;;;;;;sebastian;1;True
84;;;;;;;;;21.0;;;;;;;sebastian;1;True
85;;;;;;;;;10.0;;;;;;;sebastian;1;True
86;;;;;;;;;20.0;;;;;;;sebastian;1;True
87;;;;;;;;;14.0;;;;;;;sebastian;1;True
88;;;;;;;;;28.0;;;;;;;sebastian;1;True
89;;;;;;;;;1.0;;;;;;;sebastian;1;True
