;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
19;74;138.4189;155.8649;0.7432;2.728;0.8393;253.2449;11534.0;9.1;0.4459;0.5405;0.4324;0.5541;0.2973;0.6892;tomas;1
20;66;169.9697;322.5455;1.5909;2.7398;0.6792;761.3922;21288.0;15.2;0.4242;0.5606;0.3636;0.6212;0.3333;0.6515;tomas;1
21;15;172.1333;331.0667;1.4;2.742;0.4091;942.8;4966.0;15.1;0.4;0.5333;0.4;0.5333;0.3333;0.6;tomas;1
22;12;169.4167;1062.1667;4.6667;2.6973;0.4737;1418.1818;12746.0;23.2;0.4167;0.5;0.4167;0.5;0.4167;0.5;tomas;1
23;41;116.9024;145.3659;0.7561;2.7088;0.625;434.36;5960.0;23.1;0.439;0.5366;0.4878;0.4878;0.2683;0.7073;tomas;1
24;2;166.5;492.0;2.5;2.935;0.1667;567.0;984.0;17.1;0.5;0.0;0.5;0.0;0.5;0.0;tomas;1
25;35;75.7714;132.4286;0.7429;2.7162;0.5926;508.625;4635.0;17.2;0.3429;0.6286;0.4;0.5714;0.3429;0.6286;tomas;1
26;115;113.5478;189.6783;0.8174;2.5739;0.6632;444.6102;21813.0;19.1;0.4087;0.5826;0.4;0.5913;0.3478;0.6435;tomas;1
27;19;157.2105;296.6316;1.4211;2.6486;0.5;456.1429;5636.0;19.2;0.4737;0.4737;0.4737;0.4737;0.3684;0.5789;tomas;1
28;41;112.8293;119.122;0.6098;2.8865;0.8462;212.3478;4884.0;2.1;0.4146;0.561;0.4146;0.561;0.3415;0.6341;tomas;1
29;30;142.7667;353.1333;1.6667;2.6595;0.7059;571.1905;10594.0;2.2;0.4;0.5667;0.5;0.4667;0.3333;0.6333;tomas;1
30;7;114.0;236.2857;1.1429;2.825;0.3333;492.5;1654.0;13.1;0.4286;0.4286;0.2857;0.5714;0.4286;0.4286;tomas;1
31;98;120.5612;142.2347;0.7245;2.5535;0.8611;244.2833;13939.0;13.2;0.4388;0.551;0.4388;0.551;0.3163;0.6735;tomas;1
32;89;122.9101;153.4045;0.764;2.6494;0.8261;278.9636;13653.0;20.1;0.4382;0.5506;0.4382;0.5506;0.3371;0.6517;tomas;1
33;34;151.6765;254.1471;1.2059;2.6304;0.6667;414.0385;8641.0;20.2;0.4706;0.5;0.4706;0.5;0.3824;0.5882;tomas;1
34;101;117.1782;153.7624;0.7327;2.6251;0.8267;281.0339;15530.0;4.2;0.4059;0.5842;0.396;0.5941;0.3366;0.6535;tomas;1
35;82;113.5488;140.7683;0.7317;2.6431;0.7869;282.3542;11543.0;4.1;0.3902;0.5976;0.378;0.6098;0.2683;0.7195;tomas;1
36;85;105.1176;118.9176;0.6235;2.6109;0.8519;218.5957;10108.0;26.2;0.3765;0.6118;0.3647;0.6235;0.2706;0.7176;tomas;1
37;21;155.9524;192.4286;0.9524;2.6469;0.6667;323.5;4041.0;26.1;0.4762;0.4762;0.4286;0.5238;0.381;0.5714;tomas;1
38;116;138.8793;184.8966;0.8793;2.5832;0.7767;331.4545;21448.0;25.2;0.431;0.5603;0.4138;0.5776;0.3103;0.681;tomas;1
39;120;100.875;135.675;0.6667;2.5698;0.7037;307.6964;16281.0;25.1;0.3333;0.6583;0.3417;0.65;0.2667;0.725;tomas;1
40;108;89.6111;131.7407;0.6759;2.5973;0.8108;294.449;14228.0;3.1;0.3148;0.6759;0.3148;0.6759;0.2407;0.75;tomas;1
41;39;131.1026;183.6667;0.9231;2.65;0.6757;385.6923;7163.0;3.2;0.3846;0.5897;0.4103;0.5641;0.3333;0.641;tomas;1
42;112;155.4286;272.7143;1.3393;2.5842;0.8212;422.2706;30544.0;14.1;0.5;0.4911;0.4643;0.5268;0.3839;0.6071;tomas;1
43;101;109.1485;115.495;0.6139;2.6643;0.8889;213.4828;11665.0;14.2;0.396;0.5941;0.4059;0.5842;0.3069;0.6832;tomas;1
44;73;120.0274;263.5205;1.1644;2.755;0.8023;526.8571;19237.0;27.1;0.3973;0.589;0.3288;0.6575;0.3014;0.6849;tomas;1
45;90;120.8778;174.0111;0.8222;2.6689;0.84;290.2;15661.0;27.2;0.3778;0.6111;0.3667;0.6222;0.3111;0.6778;tomas;1
46;28;142.9643;201.8929;0.9286;2.7553;0.5926;485.7895;5653.0;28.2;0.5;0.4643;0.4286;0.5357;0.4286;0.5357;tomas;1
47;73;101.4384;162.3014;0.8493;2.639;0.6825;518.25;11848.0;28.1;0.3836;0.6027;0.3699;0.6164;0.2877;0.6986;tomas;1
48;46;176.6957;237.7609;1.1087;2.6978;0.7115;419.75;10937.0;1.2;0.4565;0.5217;0.4783;0.5;0.3043;0.6739;tomas;1
49;12;79.9167;104.9167;0.6667;2.8417;0.2222;410.0;1259.0;1.1;0.3333;0.5833;0.25;0.6667;0.3333;0.5833;tomas;1
50;14;174.5;223.9286;1.1429;2.7425;0.5882;356.4167;3135.0;29.2;0.4286;0.5;0.4286;0.5;0.2857;0.6429;tomas;1
51;3;324.6667;1832.6667;5.0;2.6567;0.25;2646.3333;5498.0;29.1;0.3333;0.3333;0.3333;0.3333;0.0;0.6667;tomas;1
52;57;84.5439;99.0175;0.5263;2.6948;0.7742;277.8519;5644.0;6.2;0.4035;0.5789;0.386;0.5965;0.3158;0.6667;tomas;1
53;58;110.3448;143.9483;0.7759;2.6891;0.7826;248.0571;8349.0;6.1;0.431;0.5517;0.4483;0.5345;0.3276;0.6552;tomas;1
54;16;106.8125;197.875;1.125;2.7033;0.5789;351.7778;3166.0;8.2;0.5;0.4375;0.4375;0.5;0.4375;0.5;tomas;1
55;30;116.4333;136.4;0.7333;2.6417;0.7391;255.0556;4092.0;8.1;0.4667;0.5;0.4667;0.5;0.4333;0.5333;tomas;1
56;15;99.4;122.2;0.7333;2.7522;0.6667;203.6667;1833.0;11.2;0.4;0.5333;0.4667;0.4667;0.3333;0.6;tomas;1
57;7;138.0;471.4286;2.0;2.726;0.6;729.8;3300.0;11.1;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;tomas;1
58;76;124.1579;136.5526;0.6842;2.5977;0.8491;228.2553;10378.0;12.2;0.4342;0.5526;0.4474;0.5395;0.3026;0.6842;tomas;1
59;16;134.0;237.1875;1.1875;2.6936;0.5;514.8182;3795.0;12.1;0.5625;0.375;0.4375;0.5;0.4375;0.5;tomas;1
60;12;206.8333;1039.25;5.25;2.6036;0.625;1469.7273;12471.0;30.0;0.5;0.4167;0.3333;0.5833;0.4167;0.5;tomas;1
61;8;163.5;408.25;2.375;2.74;0.6;608.3333;3266.0;22.0;0.5;0.375;0.5;0.375;0.5;0.375;tomas;1
62;5;116.4;276.2;1.8;2.845;0.6;382.75;1381.0;24.0;0.6;0.2;0.2;0.6;0.6;0.2;tomas;1
63;8;168.625;457.25;2.25;2.6983;0.6316;681.8333;3658.0;7.0;0.375;0.5;0.375;0.5;0.25;0.625;tomas;1
64;8;98.875;147.0;1.0;2.722;0.2222;338.4;1176.0;5.0;0.375;0.5;0.375;0.5;0.25;0.625;tomas;1
65;12;214.0;534.1667;2.9167;2.585;0.6389;598.0833;6410.0;21.0;0.4167;0.5;0.5;0.4167;0.4167;0.5;tomas;1
66;8;91.75;112.5;0.625;2.6975;0.3333;250.0;900.0;16.0;0.5;0.375;0.5;0.375;0.375;0.5;tomas;1
67;9;148.1111;256.3333;1.2222;2.58;0.5833;448.3333;2307.0;18.0;0.5556;0.3333;0.3333;0.5556;0.3333;0.5556;tomas;1
68;15;83.3333;229.8667;1.3333;2.6478;0.6667;455.2222;3448.0;10.0;0.4;0.5333;0.4667;0.4667;0.4;0.5333;tomas;1
69;12;131.4167;341.1667;1.8333;2.6878;0.6087;466.0;4094.0;9.0;0.5833;0.3333;0.5833;0.3333;0.5833;0.3333;tomas;1
70;8;147.875;179.125;1.0;2.5667;0.5556;238.8333;1433.0;15.0;0.25;0.625;0.25;0.625;0.25;0.625;tomas;1
71;13;196.8462;214.7692;0.5385;2.514;0.375;738.4;2792.0;23.0;0.3077;0.6154;0.3077;0.6154;0.3077;0.6154;tomas;1
72;12;165.25;427.75;2.3333;2.531;0.6207;611.6;5133.0;17.0;0.4167;0.5;0.5833;0.3333;0.3333;0.5833;tomas;1
73;8;135.5;329.125;2.125;2.6183;0.5556;440.4286;2633.0;19.0;0.5;0.375;0.375;0.5;0.375;0.5;tomas;1
74;18;173.1111;466.5;2.5;2.5407;0.6957;582.625;8397.0;2.0;0.5;0.4444;0.4444;0.5;0.3333;0.6111;tomas;1
75;10;76.6;176.7;0.9;2.29;0.5;380.0;1767.0;13.0;0.3;0.6;0.3;0.6;0.3;0.6;tomas;1
76;10;139.9;723.2;4.0;2.6286;0.561;941.5;7232.0;20.0;0.4;0.5;0.5;0.4;0.5;0.4;tomas;1
77;8;130.0;548.75;2.875;2.4067;0.5417;824.6667;4390.0;4.0;0.5;0.375;0.5;0.375;0.5;0.375;tomas;1
78;12;127.0;538.9167;3.3333;2.539;0.6098;708.4;6467.0;26.0;0.5;0.4167;0.5;0.4167;0.5;0.4167;tomas;1
79;9;113.7778;587.5556;3.1111;2.4157;0.5517;774.5714;5288.0;25.0;0.3333;0.5556;0.4444;0.4444;0.3333;0.5556;tomas;1
80;8;155.25;442.75;2.625;2.5571;0.5909;596.4286;3542.0;3.0;0.625;0.25;0.5;0.375;0.625;0.25;tomas;1
81;10;104.2;104.2;0.6;2.4167;0.7143;173.6667;1042.0;14.0;0.5;0.4;0.5;0.4;0.4;0.5;tomas;1
82;8;147.625;329.625;1.75;2.58;0.6;436.1429;2637.0;27.0;0.5;0.375;0.5;0.375;0.625;0.25;tomas;1
83;7;73.8571;233.5714;1.2857;2.6167;0.2;678.3333;1635.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;tomas;1
84;11;81.9091;81.9091;0.4545;2.566;0.6667;180.2;901.0;1.0;0.3636;0.5455;0.3636;0.5455;0.2727;0.6364;tomas;1
85;13;146.2308;480.6923;2.6154;2.5027;0.7429;649.2727;6249.0;29.0;0.5385;0.3846;0.4615;0.4615;0.4615;0.4615;tomas;1
86;9;174.2222;382.3333;1.7778;2.5033;0.4706;706.8333;3441.0;6.0;0.5556;0.3333;0.5556;0.3333;0.5556;0.3333;tomas;1
87;8;152.25;379.5;2.125;2.3786;0.6111;631.7143;3036.0;8.0;0.375;0.5;0.375;0.5;0.375;0.5;tomas;1
88;8;129.375;191.875;0.875;2.422;0.625;307.0;1535.0;11.0;0.375;0.5;0.5;0.375;0.25;0.625;tomas;1
89;8;114.625;212.5;1.25;2.4517;0.5455;316.6667;1700.0;12.0;0.5;0.375;0.5;0.375;0.5;0.375;tomas;1
