;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
11;73.0;45.7808;65.863;0.3425;2.6947;0.6154;319.0588;4808.0;28.1;0.1781;0.8082;0.1644;0.8219;0.1233;0.863;mireia;1;
12;98.0;108.1735;144.2347;0.7959;2.6436;0.6203;291.0926;14135.0;13.2;0.3265;0.6633;0.3367;0.6531;0.2551;0.7347;mireia;1;
13;7.0;83.4286;238.2857;1.0;2.8133;0.125;817.3333;1668.0;13.1;0.2857;0.5714;0.2857;0.5714;0.4286;0.4286;mireia;1;
14;55.0;121.5636;178.4182;0.9091;2.7086;0.6863;408.5429;9813.0;5.2;0.4;0.5818;0.3818;0.6;0.3455;0.6364;mireia;1;
15;89.0;110.2135;163.1011;0.809;2.6939;0.6712;404.2553;14516.0;5.1;0.3708;0.618;0.3708;0.618;0.3258;0.6629;mireia;1;
16;12.0;140.25;262.5833;1.1667;2.7362;0.5333;516.75;3151.0;23.2;0.4167;0.5;0.4167;0.5;0.4167;0.5;mireia;1;
17;41.0;181.0;732.6829;3.3659;2.8925;0.6763;969.9688;30040.0;23.1;0.3902;0.5854;0.3415;0.6341;0.4146;0.561;mireia;1;
18;73.0;139.4658;189.2329;0.9178;2.7721;0.6471;335.9362;13814.0;27.1;0.3973;0.589;0.3562;0.6301;0.274;0.7123;mireia;1;
19;90.0;119.9556;166.2556;0.8333;2.7478;0.7105;321.1765;14963.0;27.2;0.3556;0.6333;0.3667;0.6222;0.2889;0.7;mireia;1;
20;47.0;61.7872;92.3404;0.5532;2.6376;0.5185;286.7647;4340.0;7.2;0.2553;0.7234;0.234;0.7447;0.1702;0.8085;mireia;1;
21;2.0;583.0;778.5;1.5;2.785;0.25;1245.0;1557.0;7.1;0.0;0.5;0.0;0.5;0.5;0.0;mireia;1;
22;41.0;90.6829;114.2927;0.6829;2.8029;0.6552;247.7143;4686.0;2.1;0.3171;0.6585;0.3171;0.6585;0.3171;0.6585;mireia;1;
23;30.0;33.5667;43.3;0.2;2.7425;0.4286;324.75;1299.0;2.2;0.0667;0.9;0.0667;0.9;0.1;0.8667;mireia;1;
24;8.0;78.25;215.875;1.125;2.7625;0.3;431.75;1727.0;18.1;0.5;0.375;0.375;0.5;0.375;0.5;mireia;1;
25;7.0;23.7143;128.5714;0.8571;;0.2857;450.0;900.0;18.2;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;mireia;1;
26;76.0;102.2895;136.3947;0.75;2.66;0.6724;331.6585;10366.0;12.2;0.3947;0.5921;0.4211;0.5658;0.2763;0.7105;mireia;1;
27;16.0;97.0;135.625;0.6875;2.77;0.5;393.4286;2170.0;12.1;0.3125;0.625;0.3125;0.625;0.3125;0.625;mireia;1;
28;115.0;75.0;172.1739;0.8522;2.6888;0.6162;518.9773;19800.0;19.1;0.2522;0.7391;0.2348;0.7565;0.2348;0.7565;mireia;1;
29;19.0;142.1579;257.5789;1.3158;2.7417;0.4615;407.8333;4894.0;19.2;0.4211;0.5263;0.3684;0.5789;0.2632;0.6842;mireia;1;
30;110.0;107.5;173.0818;0.9182;2.7583;0.6078;346.0164;19039.0;24.2;0.4;0.5909;0.3636;0.6273;0.3455;0.6455;mireia;1;
31;106.0;59.2642;105.3396;0.4811;2.8352;0.6154;397.2581;11166.0;24.1;0.1604;0.8302;0.1698;0.8208;0.1321;0.8585;mireia;1;
32;85.0;126.7765;165.3059;0.8;2.8121;0.6667;306.7692;14051.0;26.2;0.3765;0.6118;0.3882;0.6;0.2824;0.7059;mireia;1;
33;21.0;123.1429;184.2857;1.0;2.8085;0.5455;305.3846;3870.0;26.1;0.3333;0.619;0.3333;0.619;0.3333;0.619;mireia;1;
34;46.0;113.913;134.0217;0.6739;2.8352;0.625;286.6;6165.0;1.2;0.3913;0.587;0.3913;0.587;0.2174;0.7609;mireia;1;
35;12.0;43.1667;80.6667;0.4167;2.9367;0.3333;322.6667;968.0;1.1;0.25;0.6667;0.25;0.6667;0.25;0.6667;mireia;1;
36;41.0;89.4146;104.8293;0.4878;2.7971;0.6667;271.0;4298.0;30.2;0.1951;0.7805;0.1951;0.7805;0.1463;0.8293;mireia;1;
37;53.0;95.9245;131.1698;0.6792;2.7254;0.6757;304.6154;6952.0;30.1;0.3774;0.6038;0.3396;0.6415;0.3019;0.6792;mireia;1;
38;136.0;86.4485;110.1985;0.5809;2.7451;0.675;328.1167;14987.0;21.2;0.3015;0.6912;0.3309;0.6618;0.2279;0.7647;mireia;1;
39;55.0;42.1273;51.8182;0.3091;2.8646;0.7222;219.2308;2850.0;21.1;0.2;0.7818;0.1818;0.8;0.1455;0.8364;mireia;1;
40;116.0;88.0948;129.3879;0.6379;2.7331;0.68;312.0577;15009.0;25.2;0.3362;0.6552;0.3276;0.6638;0.2414;0.75;mireia;1;
41;120.0;97.3167;134.8;0.6583;2.7109;0.6875;312.2321;16176.0;25.1;0.3083;0.6833;0.2917;0.7;0.2333;0.7583;mireia;1;
42;82.0;91.9268;122.6951;0.6707;2.724;0.6786;271.2308;10061.0;4.1;0.3659;0.622;0.3537;0.6341;0.3537;0.6341;mireia;1;
43;101.0;23.8416;28.2871;0.1287;2.7745;0.7143;283.1818;2857.0;4.2;0.0891;0.901;0.099;0.8911;0.0594;0.9307;mireia;1;
44;34.0;74.6471;138.4118;0.6176;2.8067;0.6364;392.1667;4706.0;20.2;0.2941;0.6765;0.2353;0.7353;0.2941;0.6765;mireia;1;
45;89.0;83.3034;104.5618;0.5843;2.7715;0.717;240.8049;9306.0;20.1;0.3146;0.6742;0.3371;0.6517;0.2584;0.7303;mireia;1;
46;112.0;102.4286;145.2143;0.8125;2.7286;0.663;279.0;16264.0;14.1;0.375;0.6161;0.3482;0.6429;0.2589;0.7321;mireia;1;
47;101.0;98.0396;124.1287;0.6436;2.65;0.7424;267.42;12537.0;14.2;0.3564;0.6337;0.3663;0.6238;0.2574;0.7327;mireia;1;
48;74.0;93.8649;166.9865;0.9054;2.6274;0.5588;357.0256;12357.0;9.1;0.3784;0.6081;0.3243;0.6622;0.2838;0.7027;mireia;1;
49;59.0;107.2203;157.2373;0.8814;2.7068;0.6792;295.1176;9277.0;9.2;0.3729;0.6102;0.3898;0.5932;0.2542;0.7288;mireia;1;
50;48.0;73.25;102.7708;0.6458;2.6131;0.6875;258.3636;4933.0;22.1;0.2917;0.6875;0.2917;0.6875;0.2917;0.6875;mireia;1;
51;8.0;37.5;97.875;0.625;2.705;0.1667;391.5;783.0;22.2;0.25;0.625;0.25;0.625;0.25;0.625;mireia;1;
52;14.0;60.8571;79.9286;0.5;2.8025;0.5;223.8;1119.0;29.2;0.2143;0.7143;0.2857;0.6429;0.2143;0.7143;mireia;1;
53;3.0;150.0;255.6667;1.3333;2.7133;0.2;294.6667;767.0;29.1;0.6667;0.0;0.6667;0.0;0.3333;0.3333;mireia;1;
54;16.0;96.9375;193.8125;0.9375;2.7011;0.625;344.5556;3101.0;8.2;0.4375;0.5;0.375;0.5625;0.375;0.5625;mireia;1;
55;30.0;139.3333;301.8333;1.4667;2.7415;0.6222;539.35;9055.0;8.1;0.4;0.5667;0.2667;0.7;0.3667;0.6;mireia;1;
56;35.0;63.8286;89.0857;0.6;2.7536;0.5;275.1429;3118.0;17.2;0.3143;0.6571;0.2857;0.6857;0.2286;0.7429;mireia;1;
57;2.0;83.5;483.5;1.5;2.9;0.0;967.0;967.0;17.1;0.5;0.0;0.5;0.0;0.5;0.0;mireia;1;
58;39.0;105.8462;144.7179;0.8718;2.6776;0.6857;245.3913;5644.0;3.2;0.359;0.6154;0.3846;0.5897;0.3333;0.641;mireia;1;
59;108.0;111.2037;144.75;0.7593;2.7287;0.6988;267.4677;15633.0;3.1;0.3796;0.6111;0.3611;0.6296;0.2963;0.6944;mireia;1;
60;15.0;83.4;100.1333;0.7333;2.8667;0.6667;178.0;1502.0;10.0;0.4;0.5333;0.4;0.5333;0.4;0.5333;mireia;1;
61;8.0;79.125;253.125;1.5;2.7725;0.3846;506.25;2025.0;11.0;0.5;0.375;0.375;0.5;0.375;0.5;mireia;1;
62;9.0;107.4444;174.1111;1.1111;2.7314;0.5455;242.8571;1567.0;6.0;0.6667;0.2222;0.5556;0.3333;0.4444;0.4444;mireia;1;
63;8.0;131.25;248.0;1.5;2.7283;0.3846;528.1667;1984.0;16.0;0.5;0.375;0.5;0.375;0.375;0.5;mireia;1;
64;8.0;93.75;297.875;1.25;2.845;0.4545;595.75;2383.0;15.0;0.375;0.5;0.375;0.5;0.375;0.5;mireia;1;
65;7.0;49.8571;61.8571;0.5714;2.55;0.0;271.6667;433.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;mireia;1;
66;10.0;26.7;45.1;0.4;2.61;0.2;259.0;451.0;13.0;0.2;0.7;0.2;0.7;0.2;0.7;mireia;1;
67;8.0;112.625;112.625;0.75;2.81;0.5714;186.1667;901.0;5.0;0.375;0.5;0.375;0.5;0.25;0.625;mireia;1;
68;13.0;69.3846;88.6154;0.7692;2.91;0.4545;373.625;1152.0;23.0;0.3846;0.5385;0.3846;0.5385;0.2308;0.6923;mireia;1;
69;8.0;138.375;203.0;1.0;2.9867;0.5556;304.0;1624.0;27.0;0.25;0.625;0.375;0.5;0.25;0.625;mireia;1;
70;8.0;58.25;58.25;0.5;2.59;0.6;116.5;466.0;7.0;0.375;0.5;0.375;0.5;0.375;0.5;mireia;1;
71;18.0;109.2222;274.0;1.5;2.8162;0.5357;466.5455;4932.0;2.0;0.5;0.4444;0.3889;0.5556;0.4444;0.5;mireia;1;
72;9.0;66.6667;118.4444;0.8889;2.7;0.2222;295.5;1066.0;18.0;0.4444;0.4444;0.4444;0.4444;0.4444;0.4444;mireia;1;
73;8.0;0.0;0.0;0.0;;0.0;;0.0;12.0;0.0;0.875;0.0;0.875;0.0;0.875;mireia;1;
74;8.0;8.25;8.25;0.125;;0.0;66.0;66.0;19.0;0.0;0.875;0.0;0.875;0.0;0.875;mireia;1;
75;5.0;46.8;213.2;1.6;2.84;0.1111;533.0;1066.0;24.0;0.4;0.4;0.4;0.4;0.4;0.4;mireia;1;
76;12.0;44.5;80.5833;0.5833;2.83;0.375;241.75;967.0;26.0;0.3333;0.5833;0.3333;0.5833;0.3333;0.5833;mireia;1;
77;11.0;52.9091;107.3636;0.8182;2.7133;0.4;292.8;1181.0;1.0;0.3636;0.5455;0.3636;0.5455;0.3636;0.5455;mireia;1;
78;12.0;110.4167;179.0;1.3333;2.8;0.5294;320.2222;2148.0;30.0;0.4167;0.5;0.4167;0.5;0.5;0.4167;mireia;1;
79;12.0;123.6667;150.0;1.0;2.7725;0.5385;229.6667;1800.0;21.0;0.4167;0.5;0.5;0.4167;0.25;0.6667;mireia;1;
80;;;;;;;;;25.0;;;;;;;mireia;1;True
81;;;;;;;;;4.0;;;;;;;mireia;1;True
82;;;;;;;;;20.0;;;;;;;mireia;1;True
83;;;;;;;;;14.0;;;;;;;mireia;1;True
84;12.0;30.4167;47.1667;0.5;2.72;0.4286;141.5;566.0;9.0;0.1667;0.75;0.25;0.6667;0.1667;0.75;mireia;1;
85;;;;;;;;;22.0;;;;;;;mireia;1;True
86;;;;;;;;;29.0;;;;;;;mireia;1;True
87;;;;;;;;;8.0;;;;;;;mireia;1;True
88;12.0;8.3333;8.3333;0.0833;2.63;0.0;100.0;100.0;17.0;0.0833;0.8333;0.0833;0.8333;0.0833;0.8333;mireia;1;
89;;;;;;;;;3.0;;;;;;;mireia;1;True
