;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
58;41.0;5.83;109.1707;122.9756;0.4878;2.6824;0.8095;316.1765;5042.0;23.1;0.3415;0.6341;0.3415;0.6341;0.2927;0.6829;aleix;1;
59;12.0;7.08;111.25;136.25;0.6667;2.6767;0.5556;300.3333;1635.0;23.2;0.5;0.4167;0.5;0.4167;0.3333;0.5833;aleix;1;
60;8.0;3.88;108.25;199.875;1.375;2.56;0.25;579.6;1599.0;7.0;0.25;0.625;0.375;0.5;0.25;0.625;aleix;1;
61;8.0;4.25;34.25;34.25;0.375;2.6167;0.5;91.3333;274.0;12.0;0.375;0.5;0.375;0.5;0.375;0.5;aleix;1;
62;8.0;4.5;25.0;25.0;0.125;2.4;0.0;200.0;200.0;8.0;0.125;0.75;0.125;0.75;0.125;0.75;aleix;1;
63;8.0;3.38;62.5;62.5;0.375;2.63;0.5;166.6667;500.0;19.0;0.375;0.5;0.375;0.5;0.375;0.5;aleix;1;
64;13.0;3.77;110.1538;210.1538;1.0;2.5229;0.6429;423.5714;2732.0;29.0;0.4615;0.4615;0.3846;0.5385;0.3846;0.5385;aleix;1;
65;12.0;5.25;105.4167;130.3333;0.6667;2.605;0.5556;260.6667;1564.0;9.0;0.3333;0.5833;0.3333;0.5833;0.3333;0.5833;aleix;1;
66;8.0;4.38;208.125;475.75;2.125;2.6388;0.6667;744.125;3806.0;22.0;0.5;0.375;0.25;0.625;0.375;0.5;aleix;1;
67;8.0;4.25;109.25;109.25;0.625;2.692;0.6667;174.8;874.0;3.0;0.5;0.375;0.5;0.375;0.125;0.75;aleix;1;
68;12.0;4.0;102.8333;116.6667;0.6667;2.5717;0.6667;200.0;1400.0;30.0;0.25;0.6667;0.25;0.6667;0.25;0.6667;aleix;1;
69;12.0;3.92;183.1667;230.3333;0.8333;2.4983;0.6364;432.7143;2764.0;21.0;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;aleix;1;
70;12.0;4.17;111.1667;111.1667;0.5833;2.558;0.625;243.0;1334.0;17.0;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;aleix;1;
71;8.0;5.25;54.125;54.125;0.375;2.4933;0.5;144.3333;433.0;11.0;0.375;0.5;0.375;0.5;0.25;0.625;aleix;1;
72;;;;;;;;;;20.0;;;;;;;aleix;1;True
73;8.0;4.12;154.375;271.0;1.5;2.56;0.4615;522.5;2168.0;27.0;0.625;0.25;0.625;0.25;0.375;0.5;aleix;1;
74;8.0;3.88;58.375;150.125;0.875;2.62;0.5;300.25;1201.0;16.0;0.375;0.5;0.375;0.5;0.25;0.625;aleix;1;
75;10.0;3.2;121.7;135.0;0.7;2.4267;0.5;376.5;1350.0;13.0;0.3;0.6;0.3;0.6;0.3;0.6;aleix;1;
76;7.0;3.43;71.5714;224.0;1.1429;;0.2222;723.0;1568.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;aleix;1;
77;18.0;4.28;190.7222;281.9444;1.2778;2.5958;0.625;469.8462;5075.0;2.0;0.3889;0.5556;0.2778;0.6667;0.3333;0.6111;aleix;1;
78;9.0;4.11;181.5556;181.5556;0.6667;2.522;0.5714;433.5;1634.0;18.0;0.4444;0.4444;0.4444;0.4444;0.2222;0.6667;aleix;1;
79;8.0;4.25;150.875;200.75;0.875;2.612;0.375;521.0;1606.0;5.0;0.375;0.5;0.375;0.5;0.375;0.5;aleix;1;
80;9.0;4.22;41.6667;41.6667;0.3333;2.62;0.5;125.0;375.0;6.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;aleix;1;
81;5.0;4.8;33.4;33.4;0.2;2.45;0.0;167.0;167.0;24.0;0.2;0.6;0.2;0.6;0.2;0.6;aleix;1;
82;8.0;5.38;131.625;148.375;0.75;2.455;0.5714;332.4;1187.0;4.0;0.5;0.375;0.5;0.375;0.375;0.5;aleix;1;
83;8.0;3.88;134.375;134.375;0.625;2.5967;0.5;308.4;1075.0;15.0;0.25;0.625;0.25;0.625;0.125;0.75;aleix;1;
84;15.0;3.73;211.0;304.3333;1.4667;2.5658;0.6087;781.9231;4565.0;10.0;0.4667;0.4667;0.4667;0.4667;0.4;0.5333;aleix;1;
85;12.0;4.17;89.5;181.0833;0.9167;2.455;0.5833;359.1429;2173.0;26.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;aleix;1;
86;10.0;4.6;266.5;396.5;1.5;2.542;0.625;551.6667;3965.0;14.0;0.5;0.4;0.4;0.5;0.4;0.5;aleix;1;
87;9.0;4.89;156.2222;197.0;0.7778;2.52;0.5;354.6;1773.0;25.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;aleix;1;
88;11.0;3.91;81.7273;124.0909;0.5455;2.725;0.4286;341.25;1365.0;1.0;0.2727;0.6364;0.3636;0.5455;0.2727;0.6364;aleix;1;
89;13.0;3.85;119.8462;138.3846;0.4615;2.6833;0.5714;458.2;1799.0;23.0;0.2308;0.6923;0.2308;0.6923;0.2308;0.6923;aleix;1;
