;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
26;7;3.71;247.4286;247.4286;0.5714;2.935;0.6;433.0;1732.0;18.2;0.5714;0.2857;0.5714;0.2857;0.2857;0.5714;sina;1
27;2;9.5;466.5;766.5;1.5;3.05;0.0;1133.0;1533.0;17.1;0.5;0.0;0.0;0.5;0.5;0.0;sina;1
28;35;5.66;147.6;298.0571;0.5714;2.9;0.619;981.6364;10432.0;17.2;0.2286;0.7429;0.2;0.7714;0.2;0.7714;sina;1
29;72;4.94;122.6528;129.5833;0.375;2.8992;0.8214;423.5;9330.0;10.2;0.25;0.7361;0.25;0.7361;0.2361;0.75;sina;1
30;93;5.25;150.172;186.0;0.5054;2.934;0.7708;540.9143;17298.0;10.1;0.2903;0.6989;0.2688;0.7204;0.2473;0.7419;sina;1
31;21;4.48;221.0;305.1429;0.7619;2.8327;0.7059;603.7273;6408.0;16.1;0.4286;0.5238;0.381;0.5714;0.3333;0.619;sina;1
32;38;4.76;230.4737;320.1579;0.6579;2.87;0.7692;924.9375;12166.0;16.2;0.3158;0.6579;0.2895;0.6842;0.2105;0.7632;sina;1
33;3;5.0;222.3333;389.3333;1.3333;3.11;0.2;884.0;1168.0;29.1;0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;sina;1
34;14;6.0;204.7857;214.2857;0.6429;2.8325;0.7;375.0;3000.0;29.2;0.3571;0.5714;0.3571;0.5714;0.2143;0.7143;sina;1
35;19;3.89;296.4211;412.3158;0.7368;2.8322;0.4667;911.1111;7834.0;19.2;0.3684;0.5789;0.3158;0.6316;0.3158;0.6316;sina;1
36;115;4.5;170.1652;228.0609;0.3478;2.9078;0.7561;845.8438;26227.0;19.1;0.2261;0.7652;0.2174;0.7739;0.1652;0.8261;sina;1
37;73;4.6;124.8082;169.2055;0.5068;2.919;0.7632;587.4828;12352.0;28.1;0.3151;0.6712;0.3014;0.6849;0.2466;0.7397;sina;1
38;28;3.18;103.5714;114.2857;0.3929;2.912;0.5833;396.7;3200.0;28.2;0.3214;0.6429;0.3214;0.6429;0.2857;0.6786;sina;1
39;57;4.12;260.2632;323.4561;0.6667;2.923;0.6667;786.25;18437.0;6.2;0.3158;0.6667;0.3158;0.6667;0.2982;0.6842;sina;1
40;58;3.9;277.1034;289.7759;0.4655;2.8167;0.75;774.2174;16807.0;6.1;0.3448;0.6379;0.3448;0.6379;0.2759;0.7069;sina;1
41;73;4.44;295.9178;364.411;0.5205;2.8758;0.7692;1147.3226;26602.0;27.1;0.3836;0.6027;0.3836;0.6027;0.3151;0.6712;sina;1
42;90;4.77;189.6444;211.8778;0.5889;2.88;0.8333;439.3111;19069.0;27.2;0.3889;0.6;0.4111;0.5778;0.3222;0.6667;sina;1
43;112;5.06;94.6161;105.0357;0.3482;2.8691;0.85;336.1143;11764.0;14.1;0.2589;0.7321;0.2589;0.7321;0.2321;0.7589;sina;1
44;101;4.92;126.7525;142.2772;0.3465;2.8975;0.8056;697.7857;14370.0;14.2;0.1782;0.8119;0.198;0.7921;0.1386;0.8515;sina;1
45;7;3.43;281.0;395.2857;0.7143;2.8725;0.3333;733.5;2767.0;13.1;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;sina;1
46;98;4.2;109.8571;114.9694;0.3367;2.8952;0.8529;388.1935;11267.0;13.2;0.2551;0.7347;0.2551;0.7347;0.2041;0.7857;sina;1
47;12;7.08;400.3333;1122.5;1.8333;2.8467;0.4783;1530.0;13470.0;23.2;0.5;0.4167;0.5;0.4167;0.3333;0.5833;sina;1
48;41;5.83;105.7561;108.1951;0.3902;2.8027;0.8235;295.7333;4436.0;23.1;0.2927;0.6829;0.2927;0.6829;0.2439;0.7317;sina;1
49;108;4.56;82.4815;95.4537;0.3056;2.839;0.7647;423.2759;10309.0;3.1;0.2222;0.7685;0.2222;0.7685;0.1944;0.7963;sina;1
50;39;4.72;239.3077;250.4359;0.5385;2.8937;0.7727;535.1053;9767.0;3.2;0.3077;0.6667;0.3077;0.6667;0.2308;0.7436;sina;1
51;30;4.3;234.4667;271.1333;0.4333;2.765;0.7857;677.8333;8134.0;2.2;0.3667;0.6;0.3667;0.6;0.2667;0.7;sina;1
52;41;4.32;121.0732;160.0976;0.3902;3.1482;0.7059;596.7273;6564.0;2.1;0.2439;0.7317;0.2439;0.7317;0.2195;0.7561;sina;1
53;66;5.61;133.8788;154.7121;0.303;3.1824;0.6667;687.4118;10211.0;15.2;0.1667;0.8182;0.1818;0.803;0.1212;0.8636;sina;1
54;15;4.67;128.8667;197.7333;0.6;3.1957;0.6;423.7143;2966.0;15.1;0.3333;0.6;0.3333;0.6;0.3333;0.6;sina;1
55;82;4.55;198.4146;255.8415;0.5366;3.1206;0.7111;644.8182;20979.0;4.1;0.3415;0.6463;0.3293;0.6585;0.3049;0.6829;sina;1
56;101;5.11;96.3762;111.2277;0.3069;3.1711;0.8438;473.8214;11234.0;4.2;0.2475;0.7426;0.2376;0.7525;0.2079;0.7822;sina;1
57;89;4.64;138.6292;196.6629;0.382;3.0468;0.6857;1151.85;17503.0;20.1;0.191;0.7978;0.191;0.7978;0.1573;0.8315;sina;1
58;34;3.79;203.9118;259.7941;0.5588;3.0787;0.7;724.4;8833.0;20.2;0.3529;0.6176;0.3235;0.6471;0.3824;0.5882;sina;1
59;8;3.88;495.875;554.25;0.625;2.9567;0.3333;1644.6667;4434.0;7.0;0.375;0.5;0.375;0.5;0.375;0.5;sina;1
60;9;4.89;459.1111;459.1111;0.4444;3.0425;0.6;1033.0;4132.0;25.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;sina;1
61;11;3.91;276.6364;334.1818;1.0;3.4983;0.6667;549.0;3676.0;1.0;0.4545;0.4545;0.4545;0.4545;0.3636;0.5455;sina;1
62;8;4.5;582.375;1692.5;3.875;3.42;0.4688;1958.0;13540.0;8.0;0.375;0.5;0.375;0.5;0.25;0.625;sina;1
63;12;4.0;310.9167;341.5;0.75;3.0243;0.5;656.8571;4098.0;30.0;0.3333;0.5833;0.3333;0.5833;0.4167;0.5;sina;1
64;5;4.8;266.6;266.6;0.4;3.18;0.3333;666.5;1333.0;24.0;0.4;0.4;0.4;0.4;0.4;0.4;sina;1
65;8;5.25;641.75;924.25;1.125;3.412;0.3;2451.0;7394.0;11.0;0.375;0.5;0.375;0.5;0.375;0.5;sina;1
66;12;3.92;725.0833;838.9167;1.0;3.1175;0.6154;1621.0;10067.0;21.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;sina;1
67;8;4.38;266.75;521.0;1.0;3.3375;0.5556;833.6;4168.0;22.0;0.375;0.5;0.375;0.5;0.375;0.5;sina;1
68;8;4.25;313.375;313.375;0.5;3.515;0.6;626.75;2507.0;5.0;0.375;0.5;0.375;0.5;0.25;0.625;sina;1
69;8;4.25;296.0;296.0;0.625;3.254;0.6667;473.6;2368.0;12.0;0.5;0.375;0.5;0.375;0.375;0.5;sina;1
70;12;4.17;356.3333;578.4167;1.1667;3.5;0.6;1019.4444;6941.0;26.0;0.5;0.4167;0.5;0.4167;0.3333;0.5833;sina;1
71;12;5.25;250.0833;250.0833;0.4167;3.552;0.6667;600.2;3001.0;9.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;sina;1
72;9;4.11;270.3333;285.0;0.8889;3.2475;0.5556;427.5;2565.0;18.0;0.4444;0.4444;0.4444;0.4444;0.4444;0.4444;sina;1
73;12;4.17;94.4167;94.4167;0.3333;3.05;0.6;283.25;1133.0;17.0;0.1667;0.75;0.1667;0.75;0.1667;0.75;sina;1
74;15;3.73;386.8;460.0667;0.9333;3.066;0.6667;933.5;6901.0;10.0;0.5333;0.4;0.5333;0.4;0.4;0.5333;sina;1
75;8;3.88;200.0;337.375;1.25;2.98;0.6364;559.8;2699.0;16.0;0.375;0.5;0.5;0.375;0.25;0.625;sina;1
76;13;3.77;138.5385;138.5385;0.3077;2.9325;0.6;450.25;1801.0;29.0;0.3077;0.6154;0.3077;0.6154;0.2308;0.6923;sina;1
77;8;3.38;204.25;204.25;0.25;2.855;0.3333;817.0;1634.0;19.0;0.25;0.625;0.25;0.625;0.25;0.625;sina;1
78;7;3.43;176.2857;176.2857;0.4286;2.9133;0.5;411.3333;1234.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;sina;1
79;9;4.22;489.8889;764.0;1.3333;3.12;0.3846;1486.3333;6876.0;6.0;0.4444;0.4444;0.5556;0.3333;0.4444;0.4444;sina;1
80;8;4.12;861.25;1666.5;3.125;3.0643;0.5;2168.375;13332.0;27.0;0.625;0.25;0.5;0.375;0.625;0.25;sina;1
81;10;4.6;230.8;230.8;0.5;2.794;0.6667;461.6;2308.0;14.0;0.3;0.6;0.3;0.6;0.3;0.6;sina;1
82;10;3.2;206.6;213.2;0.6;2.9225;0.4286;466.4;2132.0;13.0;0.3;0.6;0.3;0.6;0.3;0.6;sina;1
83;13;3.85;138.4615;171.7692;1.0;2.9344;0.5714;248.1111;2233.0;23.0;0.4615;0.4615;0.4615;0.4615;0.4615;0.4615;sina;1
84;8;4.25;383.25;466.625;1.125;2.91;0.5;727.6667;3733.0;3.0;0.375;0.5;0.375;0.5;0.375;0.5;sina;1
85;18;4.28;513.5;743.2222;1.1111;3.0458;0.5238;1317.5833;13378.0;2.0;0.3889;0.5556;0.3889;0.5556;0.2778;0.6667;sina;1
86;8;3.88;20.75;20.75;0.125;3.19;0.0;166.0;166.0;15.0;0.125;0.75;0.125;0.75;0.125;0.75;sina;1
87;8;5.38;225.0;495.875;1.0;3.0757;0.6667;566.7143;3967.0;4.0;0.25;0.625;0.25;0.625;0.25;0.625;sina;1
88;10;3.9;216.7;243.4;0.5;3.265;0.3333;808.5;2434.0;20.0;0.3;0.6;0.3;0.6;0.4;0.5;sina;1
