;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
40;73;84.3699;115.0822;0.6849;2.3992;0.7059;285.9211;8401.0;28.1;0.3836;0.6027;0.3973;0.589;0.3151;0.6712;lorenzo_ciocca;1
41;28;81.5;81.5;0.4643;2.4008;0.7857;192.2308;2282.0;28.2;0.3571;0.6071;0.3571;0.6071;0.3214;0.6429;lorenzo_ciocca;1
42;72;99.6667;114.25;0.6944;2.3612;0.7059;219.2619;8226.0;10.2;0.4583;0.5278;0.4444;0.5417;0.4167;0.5694;lorenzo_ciocca;1
43;93;104.9677;117.8817;0.6989;2.3514;0.7727;217.5;10963.0;10.1;0.4409;0.5484;0.4409;0.5484;0.3441;0.6452;lorenzo_ciocca;1
44;57;104.9825;182.1404;1.0526;2.3809;0.6721;370.2;10382.0;6.2;0.4561;0.5263;0.4912;0.4912;0.3684;0.614;lorenzo_ciocca;1
45;58;107.1897;138.2069;0.7759;2.4103;0.6957;254.2857;8016.0;6.1;0.4828;0.5;0.4828;0.5;0.3621;0.6207;lorenzo_ciocca;1
46;15;98.4;120.0;0.8;2.4333;0.6154;200.0;1800.0;11.2;0.4;0.5333;0.4;0.5333;0.3333;0.6;lorenzo_ciocca;1
47;7;128.5714;390.5714;2.0;2.372;0.5333;593.6;2734.0;11.1;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;lorenzo_ciocca;1
48;55;111.9636;127.5818;0.6909;2.3785;0.7692;247.7273;7017.0;21.1;0.4;0.5818;0.4;0.5818;0.3455;0.6364;lorenzo_ciocca;1
49;136;149.7647;264.4044;1.3382;2.3661;0.7049;434.3465;35959.0;21.2;0.4853;0.5074;0.4632;0.5294;0.3897;0.6029;lorenzo_ciocca;1
50;85;99.4471;135.9294;0.7765;2.3586;0.6716;265.4082;11554.0;26.2;0.4471;0.5412;0.4471;0.5412;0.3765;0.6118;lorenzo_ciocca;1
51;21;109.5714;139.7619;0.7619;2.3817;0.7059;244.5833;2935.0;26.1;0.3333;0.619;0.4286;0.5238;0.3333;0.619;lorenzo_ciocca;1
52;112;106.3393;131.2857;0.7679;2.4009;0.7241;244.6765;14704.0;14.1;0.4375;0.5536;0.4464;0.5446;0.3571;0.6339;lorenzo_ciocca;1
53;101;107.3564;132.5248;0.7228;2.3795;0.7568;259.807;13385.0;14.2;0.4653;0.5248;0.4455;0.5446;0.3762;0.6139;lorenzo_ciocca;1
54;47;147.4894;161.617;0.8511;2.396;0.6829;275.0857;7596.0;7.2;0.5106;0.4681;0.5106;0.4681;0.2766;0.7021;lorenzo_ciocca;1
55;2;275.0;1009.0;2.5;2.44;0.3333;1009.0;2018.0;7.1;0.5;0.0;0.5;0.0;0.0;0.5;lorenzo_ciocca;1
56;106;113.6226;215.6604;1.1981;2.4073;0.5781;434.7463;22860.0;24.1;0.4245;0.566;0.4528;0.5377;0.3491;0.6415;lorenzo_ciocca;1
57;110;111.7909;149.4545;0.8182;2.4018;0.7033;342.4697;16440.0;24.2;0.4364;0.5545;0.4273;0.5636;0.3455;0.6455;lorenzo_ciocca;1
58;16;111.875;297.625;1.8125;2.4727;0.6;502.6364;4762.0;8.2;0.4375;0.5;0.3125;0.625;0.4375;0.5;lorenzo_ciocca;1
59;30;106.9333;183.6;0.8;2.4369;0.6;399.4375;5508.0;8.1;0.4;0.5667;0.4;0.5667;0.3667;0.6;lorenzo_ciocca;1
60;8;112.5;318.75;2.0;2.5283;0.4706;883.3333;2550.0;5.0;0.5;0.375;0.5;0.375;0.375;0.5;lorenzo_ciocca;1
61;9;148.0;477.4444;2.7778;2.4712;0.3462;804.875;4297.0;25.0;0.4444;0.4444;0.5556;0.3333;0.3333;0.5556;lorenzo_ciocca;1
62;8;99.875;176.75;1.125;2.454;0.3;625.8;1414.0;22.0;0.375;0.5;0.25;0.625;0.375;0.5;lorenzo_ciocca;1
63;8;122.75;220.625;1.375;2.3783;0.5833;327.5;1765.0;3.0;0.375;0.5;0.375;0.5;0.25;0.625;lorenzo_ciocca;1
64;11;93.3636;224.4545;1.4545;2.37;0.5294;496.25;2469.0;1.0;0.4545;0.4545;0.2727;0.6364;0.3636;0.5455;lorenzo_ciocca;1
65;8;133.25;133.25;0.75;2.3567;0.5714;227.5;1066.0;19.0;0.375;0.5;0.375;0.5;0.25;0.625;lorenzo_ciocca;1
66;12;145.8333;249.9167;1.25;2.3811;0.5;495.1111;2999.0;9.0;0.5833;0.3333;0.5833;0.3333;0.4167;0.5;lorenzo_ciocca;1
67;12;92.25;92.25;0.5;2.3417;0.7143;184.5;1107.0;30.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;lorenzo_ciocca;1
68;8;105.125;334.25;2.0;2.445;0.5294;462.3333;2674.0;15.0;0.5;0.375;0.5;0.375;0.375;0.5;lorenzo_ciocca;1
69;13;94.8462;94.8462;0.4615;2.33;0.7143;205.5;1233.0;23.0;0.3846;0.5385;0.3846;0.5385;0.3077;0.6154;lorenzo_ciocca;1
70;12;90.1667;169.3333;1.0;2.4988;0.5385;322.625;2032.0;17.0;0.5;0.4167;0.4167;0.5;0.4167;0.5;lorenzo_ciocca;1
71;10;81.7;88.4;0.7;2.38;0.5;161.1667;884.0;13.0;0.3;0.6;0.3;0.6;0.3;0.6;lorenzo_ciocca;1
72;9;151.8889;196.3333;1.2222;2.36;0.5;323.0;1767.0;18.0;0.4444;0.4444;0.6667;0.2222;0.2222;0.6667;lorenzo_ciocca;1
73;18;153.3333;265.7222;1.5;2.4579;0.4286;446.5;4783.0;2.0;0.5556;0.3889;0.3889;0.5556;0.3889;0.5556;lorenzo_ciocca;1
74;13;123.0769;241.7692;1.4615;2.39;0.5;516.1;3143.0;29.0;0.5385;0.3846;0.5385;0.3846;0.3846;0.5385;lorenzo_ciocca;1
75;8;71.125;81.5;0.5;2.4233;0.4;217.3333;652.0;12.0;0.375;0.5;0.375;0.5;0.25;0.625;lorenzo_ciocca;1
76;8;155.375;468.75;2.5;2.4088;0.5238;526.125;3750.0;4.0;0.5;0.375;0.375;0.5;0.375;0.5;lorenzo_ciocca;1
77;8;93.75;186.375;1.25;2.376;0.3636;508.4;1491.0;16.0;0.25;0.625;0.25;0.625;0.25;0.625;lorenzo_ciocca;1
78;10;62.6;103.3;0.6;2.42;0.4286;258.25;1033.0;20.0;0.3;0.6;0.3;0.6;0.3;0.6;lorenzo_ciocca;1
79;8;110.625;207.375;1.125;2.416;0.6;392.0;1659.0;27.0;0.375;0.5;0.375;0.5;0.25;0.625;lorenzo_ciocca;1
80;7;70.2857;70.2857;0.5714;2.4275;0.6;123.0;492.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;lorenzo_ciocca;1
81;15;137.0667;228.6667;1.4667;2.3917;0.5652;569.5;3430.0;10.0;0.3333;0.6;0.4667;0.4667;0.3333;0.6;lorenzo_ciocca;1
82;9;124.7778;163.6667;1.0;2.3686;0.3;274.5714;1473.0;6.0;0.3333;0.5556;0.4444;0.4444;0.3333;0.5556;lorenzo_ciocca;1
83;8;160.5;270.875;1.5;2.3157;0.5385;383.5714;2167.0;11.0;0.625;0.25;0.625;0.25;0.5;0.375;lorenzo_ciocca;1
84;12;101.3333;168.5833;0.9167;2.4014;0.5833;348.4286;2023.0;21.0;0.4167;0.5;0.5;0.4167;0.4167;0.5;lorenzo_ciocca;1
85;12;98.6667;143.75;0.9167;2.3643;0.3333;291.7143;1725.0;26.0;0.4167;0.5;0.3333;0.5833;0.3333;0.5833;lorenzo_ciocca;1
86;10;113.2;139.0;0.8;2.3433;0.4444;345.5;1390.0;14.0;0.3;0.6;0.3;0.6;0.3;0.6;lorenzo_ciocca;1
87;8;79.125;89.5;0.625;2.305;0.5;179.0;716.0;7.0;0.5;0.375;0.5;0.375;0.375;0.5;lorenzo_ciocca;1
88;5;68.2;68.2;0.4;2.52;0.3333;170.5;341.0;24.0;0.4;0.4;0.4;0.4;0.4;0.4;lorenzo_ciocca;1
89;8;102.125;144.625;0.875;2.3875;0.375;289.25;1157.0;8.0;0.5;0.375;0.375;0.5;0.375;0.5;lorenzo_ciocca;1
