;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
69;13.0;3.77;171.8462;171.8462;0.3846;2.76;0.6667;446.8;2234.0;29.0;0.3077;0.6154;0.3077;0.6154;0.2308;0.6923;fabricio;1;
70;10.0;4.6;306.7;510.8;1.0;2.9517;0.4545;1212.5;5108.0;14.0;0.6;0.3;0.5;0.4;0.4;0.5;fabricio;1;
71;12.0;4.17;133.25;133.25;0.5;2.79;0.7143;266.5;1599.0;17.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;fabricio;1;
72;8.0;5.25;91.625;241.625;0.625;2.975;0.1667;966.5;1933.0;11.0;0.25;0.625;0.25;0.625;0.25;0.625;fabricio;1;
73;9.0;4.22;266.5556;451.7778;1.2222;2.9917;0.5833;755.5;4066.0;6.0;0.5556;0.3333;0.4444;0.4444;0.4444;0.4444;fabricio;1;
74;8.0;5.38;420.75;574.875;1.125;2.7625;0.3;1258.0;4599.0;4.0;0.375;0.5;0.375;0.5;0.5;0.375;fabricio;1;
75;5.0;4.8;86.8;160.2;0.6;3.195;0.25;400.5;801.0;24.0;0.4;0.4;0.4;0.4;0.4;0.4;fabricio;1;
76;12.0;5.25;233.9167;350.6667;0.75;3.0317;0.6;784.6667;4208.0;9.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;fabricio;1;
77;8.0;4.25;188.625;188.625;0.5;3.0925;0.6;377.25;1509.0;3.0;0.375;0.5;0.375;0.5;0.25;0.625;fabricio;1;
78;8.0;4.5;250.0;250.0;0.5;2.8;0.6;500.0;2000.0;8.0;0.25;0.625;0.25;0.625;0.25;0.625;fabricio;1;
79;8.0;3.88;292.625;463.375;1.375;2.5967;0.5833;901.1667;3707.0;7.0;0.375;0.5;0.25;0.625;0.375;0.5;fabricio;1;
80;;;;;;;;;;16.0;;;;;;;fabricio;1;True
81;8.0;3.38;126.0;126.0;0.125;2.82;0.0;1008.0;1008.0;19.0;0.125;0.75;0.125;0.75;0.125;0.75;fabricio;1;
82;8.0;4.38;158.25;158.25;0.375;2.7167;0.5;422.0;1266.0;22.0;0.375;0.5;0.375;0.5;0.25;0.625;fabricio;1;
83;15.0;3.73;413.4;520.0667;0.8667;3.217;0.6429;1045.9;7801.0;10.0;0.5333;0.4;0.5333;0.4;0.3333;0.6;fabricio;1;
84;8.0;4.25;154.125;154.125;0.375;3.0333;0.5;411.0;1233.0;5.0;0.25;0.625;0.25;0.625;0.25;0.625;fabricio;1;
85;12.0;4.0;148.6667;148.6667;0.5;2.82;0.5714;404.3333;1784.0;30.0;0.25;0.6667;0.25;0.6667;0.25;0.6667;fabricio;1;
86;;;;;;;;;;1.0;;;;;;;fabricio;1;True
87;10.0;3.9;176.7;176.7;0.3;2.9967;0.5;589.0;1767.0;20.0;0.2;0.7;0.2;0.7;0.2;0.7;fabricio;1;
88;12.0;3.92;411.0833;736.75;1.25;2.6029;0.625;1329.7143;8841.0;21.0;0.5;0.4167;0.5;0.4167;0.4167;0.5;fabricio;1;
89;18.0;4.28;246.8333;314.8889;0.6667;3.1144;0.6154;718.6667;5668.0;2.0;0.5;0.4444;0.4444;0.5;0.4444;0.5;fabricio;1;
